28;72;2206;-32;1;-134;0,727197;-1,869371;-0,000122;0,003906;0,247925;-1,646161;0;0;0;0
38;77;2195;-61;0;24;0,991810;-2,009096;0,000000;0,007446;0,261337;-1,660317;0;0;0;0
28;103;2208;-16;14;117;0,726538;-2,670829;-0,001709;0,001953;0,250495;-1,667003;0;0;0;0
26;82;2193;-62;50;-2;0,679262;-2,141389;-0,006104;0,007568;0,245710;-1,653718;0;0;0;0
26;73;2194;-31;42;-106;0,678952;-1,905674;-0,005127;0,003784;0,248607;-1,646990;0;0;0;0
34;78;2205;-39;67;-22;0,883402;-2,025945;-0,008179;0,004761;0,241981;-1,659694;0;0;0;0
-3;83;2174;22;69;134;-0,079065;-2,186404;-0,008423;-0,002686;0,231236;-1,664231;0;0;0;0
17;63;2188;-50;6;-74;0,445159;-1,649286;-0,000732;0,006104;0,240429;-1,659755;0;0;0;0
24;84;2226;-5;-115;-10;0,617720;-2,161080;0,014038;0,000610;0,258287;-1,664469;0;0;0;0
29;67;2197;-9;80;130;0,756250;-1,746758;-0,009766;0,001099;0,272385;-1,676644;0;0;0;0
31;73;2201;-8;124;37;0,806929;-1,899618;-0,015137;0,000977;0,249597;-1,675767;0;0;0;0
28;75;2243;-32;-28;-100;0,715202;-1,915106;0,003418;0,003906;0,257615;-1,663655;0;0;0;0
24;86;2209;-42;48;-7;0,622474;-2,229493;-0,005859;0,005127;0,254120;-1,667167;0;0;0;0
18;86;2179;18;113;79;0,473291;-2,260156;-0,013794;-0,002197;0,252608;-1,685219;0;0;0;0
15;70;2204;-89;-149;-31;0,389938;-1,819127;0,018188;0,010864;0,239619;-1,677977;0;0;0;0
22;88;2222;-5;50;26;0,567266;-2,267954;-0,006104;0,000610;0,253207;-1,677008;0;0;0;0
41;69;2174;-36;137;-13;1,080427;-1,817885;-0,016724;0,004395;0,254662;-1,676964;0;0;0;0
24;80;2220;-10;-5;39;0,619390;-2,063820;0,000610;0,001221;0,276227;-1,675227;0;0;0;0
24;60;2193;-3;-117;-40;0,627015;-1,567209;0,014282;0,000366;0,257189;-1,688941;0;0;0;0
26;70;2201;-87;38;-53;0,676793;-1,821605;-0,004639;0,010620;0,259429;-1,665674;0;0;0;0
17;78;2207;-28;-83;86;0,441327;-2,024110;0,010132;0,003418;0,274677;-1,660427;0;0;0;0
16;72;2225;-72;8;22;0,412007;-1,853419;-0,000977;0,008789;0,255668;-1,657688;0;0;0;0
43;80;2208;-16;35;1;1,115674;-2,075026;-0,004272;0,001953;0,249372;-1,651412;0;0;0;0
6;62;2213;-63;64;11;0,155343;-1,604794;-0,007812;0,007690;0,230521;-1,647467;0;0;0;0
18;78;2209;-28;-4;19;0,466863;-2,022279;0,000488;0,003418;0,230231;-1,652870;0;0;0;0
11;78;2208;-23;-88;-13;0,285439;-2,023194;0,010742;0,002808;0,232814;-1,658534;0;0;0;0
17;79;2216;-42;100;-64;0,439535;-2,041720;-0,012207;0,005127;0,218658;-1,656703;0;0;0;0
19;87;2203;1;8;60;0,494141;-2,261527;-0,000977;-0,000122;0,210429;-1,666664;0;0;0;0
16;92;2200;-40;-47;-5;0,416689;-2,394610;0,005737;0,004883;0,230099;-1,666621;0;0;0;0
11;77;2235;-13;43;52;0,281990;-1,973168;-0,005249;0,001587;0,198682;-1,687820;0;0;0;0
26;79;2205;-14;33;198;0,675565;-2,051896;-0,004028;0,001709;0,204013;-1,676373;0;0;0;0
